5495049 | cookie cookie | New mark | 12.100
8057737 | bisquits bisquits | New mark | 11
7809422 | cookie bisquits | Milka | 28
1142319 | chocolate donnat | Nestle | 2
4016065 | cookie  | Nestle | 9
6109942 | waffle waffle | Ood | 14
3203532 | pie waffle | My firm | 21
3249164 | cookie  | Kinder | 25
3415188 | cookie bonbon | Ood | 18.941
4041671 | cake donnat | My firm | 28
3396209 | bonbon  | Nestle | 21
1609160 | bisquits  | Kinder | 14
1787940 | bonbon cookie | Kinder | 15
911598 | chocolate bonbon | My firm | 8
6340008 | donnat  | Nestle | 13
7626714 | donnat bisquits | Ood | 20.341
1806027 | bisquits bonbon | My firm | 27
7602375 | cookie  | Nestle | 14
8468417 | pie chocolate | Karmela | 2.757
2447299 | chocolate cookie | My firm | 28.195
5390038 | cake waffle | Milka | 27
6560367 | donnat  | Nestle | 19
3952582 | donnat donnat | Ood | 27.120
3366921 | bisquits pie | Karmela | 28.35
5980949 | donnat cookie | My firm | 29
9645851 | chocolate donnat | Kinder | 6.458
7284879 | cookie pie | Milka | 24
6047684 | chocolate  | Kinder | 6
8038030 | cookie donnat | New mark | 18
2336927 | bisquits  | Nestle | 12
153394 | donnat  | Ood | 1
3128457 | pie bonbon | Karmela | 2
2314209 | donnat  | Ood | 10
7796123 | chocolate  | My firm | 1
2849460 | cookie bonbon | Nestle | 16
4361375 | cake cake | Nestle | 1.164
8894659 | cookie bisquits | Ood | 26
3895730 | waffle waffle | Karmela | 24
3465730 | pie bonbon | Kinder | 22.674
6133705 | cookie bonbon | Karmela | 7
2571467 | donnat bonbon | Nestle | 26
2447383 | bonbon  | Kinder | 15.238
2723150 | donnat pie | New mark | 11
3764705 | bonbon  | Nestle | 25.932
3893886 | cake bonbon | My firm | 28.21
4719362 | cookie cake | New mark | 18.113
9446275 | bonbon  | My firm | 10
8296131 | bisquits donnat | My firm | 26
9059477 | pie cake | Karmela | 25
2635713 | pie bisquits | Kinder | 7
3337246 | bisquits  | Karmela | 9.29
772414 | bonbon pie | Karmela | 24
4559249 | waffle waffle | Milka | 6
7254639 | chocolate  | Milka | 22
8501406 | chocolate  | Ood | 10.75
4958885 | chocolate bisquits | Milka | 19
8287062 | cookie donnat | Kinder | 0
8076463 | waffle pie | New mark | 0
6082607 | bonbon waffle | My firm | 17.967
9167265 | pie cookie | New mark | 10
6011645 | bisquits  | Karmela | 14
1118008 | bonbon  | Kinder | 21
424942 | cake chocolate | My firm | 2.887
8674428 | pie cookie | Kinder | 17
6969364 | donnat cookie | Milka | 10
8439605 | donnat bonbon | My firm | 5
46741 | pie  | New mark | 20.303
9968380 | pie waffle | Karmela | 13
8027033 | cookie cookie | Ood | 26
3169094 | cake waffle | My firm | 17
9484723 | waffle  | My firm | 28
8627687 | donnat pie | Nestle | 13
7000983 | bonbon chocolate | Karmela | 27
412572 | waffle cake | Karmela | 9.687
1042453 | pie chocolate | My firm | 14.289
6608508 | donnat chocolate | Karmela | 24
8656028 | bonbon bisquits | New mark | 5.462
7528015 | cake pie | My firm | 17
8758233 | cake  | Milka | 26
3637438 | bisquits chocolate | Karmela | 25
2037820 | chocolate waffle | Milka | 14.542
1992133 | donnat cookie | Ood | 8
4850080 | donnat cookie | New mark | 2.972
7479042 | waffle bonbon | My firm | 26
2457704 | chocolate  | Nestle | 7
7780745 | bonbon chocolate | My firm | 1
6664025 | donnat donnat | My firm | 21
9043766 | bisquits  | Kinder | 23.85
1116607 | donnat  | Milka | 16
6297810 | cake  | Milka | 17.958
7069335 | pie  | My firm | 6.351
3063516 | pie donnat | New mark | 23.665
8766168 | donnat  | My firm | 2
6664137 | bisquits  | New mark | 28
468289 | donnat waffle | Nestle | 13
710374 | bonbon  | My firm | 27
8236762 | pie  | Milka | 8
7691088 | cookie pie | Nestle | 29.950
3486941 | chocolate pie | New mark | 8
3049189 | waffle  | Nestle | 18.39
405987 | cookie waffle | Nestle | 24.830
3599142 | chocolate  | Milka | 5
821034 | chocolate  | My firm | 10
4033441 | chocolate bisquits | Karmela | 19.518
3943758 | bonbon cake | Milka | 21
4278484 | bonbon cake | Milka | 20
6806055 | waffle cake | Kinder | 24.330
8573374 | pie  | New mark | 19.929
2801405 | cake cake | New mark | 13.206
3301492 | donnat bisquits | Karmela | 25
7820041 | chocolate donnat | Nestle | 5
752462 | cookie  | Nestle | 1.63
3983345 | waffle  | My firm | 14
1532874 | chocolate donnat | Kinder | 13.519
6950209 | cake cookie | My firm | 13.165
9864587 | pie pie | New mark | 19.505
4452130 | bisquits bonbon | Ood | 14
8506388 | bonbon bisquits | New mark | 19
8042929 | donnat chocolate | Nestle | 26
7273814 | cookie chocolate | Milka | 14
8302231 | cake  | My firm | 27
5040068 | cake chocolate | Karmela | 6.632
4127546 | cookie  | Nestle | 15.946
7712336 | pie bisquits | Milka | 22
8014933 | chocolate  | Karmela | 29.20
4174610 | cake pie | Karmela | 10.364
8498765 | waffle  | Karmela | 3.979
6775276 | cake bisquits | Nestle | 1
4208048 | bonbon bonbon | New mark | 27
9778376 | donnat  | Nestle | 18
8685760 | waffle pie | New mark | 25
9723203 | bisquits  | Karmela | 18
8223371 | waffle donnat | Karmela | 18
5013132 | bisquits chocolate | My firm | 16.930
8720388 | cookie bisquits | My firm | 9.282
2426941 | pie cookie | Karmela | 28.93
170228 | cookie chocolate | Kinder | 18
5799845 | cake waffle | My firm | 25
4298533 | bonbon waffle | Kinder | 24.391
1022050 | chocolate bonbon | Kinder | 4.64
3090313 | cookie  | My firm | 3
1820141 | chocolate bisquits | Karmela | 10
8655019 | pie waffle | Ood | 12
8842142 | bonbon bisquits | Ood | 18
2990989 | bisquits waffle | New mark | 14
3413440 | donnat bisquits | Milka | 17.558
5668438 | pie  | New mark | 23.258
1672361 | cake  | New mark | 21.132
7139398 | donnat waffle | Nestle | 26
181363 | pie pie | Ood | 15
2030314 | chocolate pie | Nestle | 9
118724 | chocolate  | New mark | 8.205
2071705 | bonbon pie | My firm | 6.377
8049478 | pie  | Milka | 24
347835 | bisquits pie | Karmela | 11
6071288 | cake waffle | New mark | 15
8862552 | cookie chocolate | New mark | 15
5890114 | donnat  | My firm | 9
8256323 | bisquits cookie | Milka | 14.977
8047884 | chocolate cookie | Karmela | 7
5383389 | chocolate cookie | Karmela | 15
3000238 | bonbon  | Nestle | 9
4457720 | bisquits bisquits | Nestle | 21.335
8729490 | waffle  | Nestle | 13
814668 | waffle cookie | Milka | 8.50
9418820 | cake cake | Milka | 10
6489661 | bisquits bonbon | Nestle | 15
1615308 | cake  | Ood | 3.665
5806836 | chocolate  | Milka | 23
8645498 | waffle bonbon | Kinder | 15
3843209 | bonbon pie | My firm | 24
2239828 | chocolate bonbon | Kinder | 5
2739431 | donnat bonbon | Milka | 28
3611984 | cookie waffle | Nestle | 27.154
6132874 | cake  | New mark | 4.978
3466594 | waffle bisquits | Ood | 13
7303590 | chocolate  | Karmela | 24
5417482 | bisquits pie | Karmela | 0.571
6359666 | bisquits  | Ood | 7.489
6596089 | donnat chocolate | My firm | 8
9543367 | pie chocolate | Ood | 26
6537613 | bisquits chocolate | My firm | 18.791
3303087 | bonbon  | Kinder | 12
307986 | bonbon cake | Nestle | 29.70
7409373 | cookie  | Nestle | 28
1387909 | donnat chocolate | Kinder | 20
375678 | waffle cake | My firm | 7
6625929 | bonbon waffle | Ood | 26
5910360 | waffle cookie | Ood | 24
5818664 | bonbon bonbon | Karmela | 25
3693908 | cake  | Ood | 21
9932307 | cake donnat | Ood | 22.407
6135783 | cookie waffle | Kinder | 14
5000498 | bonbon bonbon | Ood | 11
2547149 | donnat pie | Nestle | 6.447
8705839 | cookie  | Milka | 27
8023667 | waffle bonbon | Karmela | 5
5906977 | donnat cake | Nestle | 3
5447067 | cookie pie | Nestle | 16
7170822 | waffle  | Nestle | 29.166
7427755 | bisquits  | Ood | 16
6976831 | cake chocolate | Milka | 6
6640171 | donnat bonbon | Kinder | 3
9025730 | bisquits bisquits | New mark | 11
852844 | chocolate pie | Karmela | 1
8479221 | cookie pie | New mark | 12.904
7318495 | cookie chocolate | Kinder | 24
6808234 | donnat  | Ood | 20.439
5347112 | donnat  | Milka | 10
5318303 | bisquits  | Karmela | 4
8160949 | waffle  | Nestle | 7
2522032 | donnat bonbon | New mark | 21
5324262 | bisquits cookie | My firm | 22
5382639 | waffle  | Karmela | 21
607936 | cookie waffle | Milka | 27
3646920 | chocolate cookie | Karmela | 2.438
2655310 | pie  | Milka | 9
8105984 | bisquits  | New mark | 24
7909462 | bonbon bisquits | My firm | 19
6470278 | cake bonbon | Ood | 25
9779701 | cookie donnat | Ood | 12
9322592 | bisquits pie | My firm | 12
2501951 | bisquits  | Karmela | 13.154
2175321 | cookie  | Kinder | 28
5195580 | cake cake | Nestle | 8
8411165 | bisquits  | Milka | 25
3201317 | pie pie | My firm | 28.773
3968326 | waffle cookie | My firm | 24
7604380 | donnat pie | Ood | 27.186
6328481 | pie bonbon | Ood | 29
288183 | chocolate chocolate | Karmela | 8
7362099 | cookie  | New mark | 21.349
2826310 | bonbon waffle | Ood | 2
3244514 | waffle cookie | Milka | 20.41
1194096 | cake  | New mark | 13
3145596 | cake bonbon | Nestle | 12.434
6532711 | bonbon  | Ood | 25
6099085 | cookie chocolate | Ood | 17
6114697 | donnat waffle | Karmela | 3
3903632 | waffle donnat | Karmela | 29
5045274 | bisquits cookie | Karmela | 5
7779532 | cake  | Nestle | 25
4316282 | cookie bisquits | Ood | 25
7030898 | pie cake | Karmela | 9
439424 | bonbon bisquits | Milka | 25
1053811 | bonbon waffle | Milka | 12
8335165 | bonbon  | Kinder | 23.263
8447406 | waffle  | Kinder | 25.264
6901860 | waffle pie | Nestle | 20
5473204 | donnat chocolate | Ood | 15.342
5461282 | pie waffle | New mark | 26
7289588 | cookie chocolate | Milka | 5
6262877 | bisquits cookie | Kinder | 12
7743390 | cake cake | Ood | 8.230
490921 | pie donnat | My firm | 27.368
4301076 | waffle chocolate | Karmela | 2
2418969 | waffle pie | Nestle | 21
4481098 | waffle cookie | New mark | 5
6960848 | donnat bisquits | My firm | 15.404
2905862 | cake bisquits | Ood | 29.721
3332961 | chocolate cake | Karmela | 7.510
9992173 | cookie bisquits | Nestle | 0
1409902 | bonbon cake | Karmela | 24
1866211 | cookie pie | Milka | 28
9912936 | pie waffle | Karmela | 17
653006 | waffle  | My firm | 16.319
9920040 | bonbon chocolate | Milka | 22
1600510 | bisquits  | My firm | 27
9174171 | bonbon pie | Kinder | 11
79236 | cake donnat | Karmela | 13
756896 | cake bisquits | Kinder | 22
1946171 | waffle  | New mark | 27.198
8312426 | cookie donnat | New mark | 0
9003418 | cookie  | Nestle | 5
3116542 | bisquits pie | My firm | 24.642
4946792 | pie waffle | Milka | 3
7714561 | pie  | Milka | 4
1766809 | bonbon  | Kinder | 26
9701284 | bonbon  | Milka | 28
2604282 | bonbon donnat | Milka | 8.958
5564291 | bisquits cookie | My firm | 17
8084367 | bonbon bonbon | Milka | 0.134
1312169 | bisquits cookie | Nestle | 8
3881121 | cake cookie | Ood | 29
8499296 | cookie chocolate | Milka | 25
4770240 | cake bisquits | My firm | 4.419
9352753 | pie bonbon | Ood | 22
5265187 | cake cake | Kinder | 28.554
8936059 | cake donnat | Milka | 2
713274 | pie  | Nestle | 19
1637847 | bisquits chocolate | Nestle | 29
1851672 | pie donnat | Kinder | 5.79
3766174 | cookie donnat | Nestle | 3
6078715 | cake  | New mark | 10
7221109 | chocolate cake | Kinder | 2
4138068 | donnat cake | Ood | 10
1253867 | donnat donnat | Kinder | 29
6947100 | bisquits waffle | Milka | 14
6833654 | bonbon cake | Karmela | 6
7605369 | pie  | Ood | 3
6657608 | waffle chocolate | Ood | 2
5494151 | cake bisquits | Karmela | 10.27
7165959 | waffle  | Ood | 18
7304413 | pie chocolate | Nestle | 3
3648497 | bonbon donnat | Ood | 7
2156330 | bisquits waffle | Kinder | 21
223673 | bisquits donnat | Milka | 3
439410 | bisquits chocolate | My firm | 25
7250036 | bisquits  | My firm | 29
1845654 | cookie  | Nestle | 21.395
8117678 | waffle  | New mark | 22
9341833 | cake donnat | Kinder | 2
4707997 | bisquits cookie | New mark | 13
7743415 | waffle  | Nestle | 27.872
7550022 | cookie  | Nestle | 7.729
6238875 | cake bonbon | Nestle | 19
2272454 | bisquits  | Kinder | 14
3736132 | pie cookie | My firm | 8
6208616 | bisquits cake | Ood | 16.179
2009007 | bonbon pie | Ood | 7
6553761 | waffle waffle | New mark | 15
1614540 | cake  | My firm | 5
8913455 | pie pie | Ood | 15.302
3151232 | cake  | New mark | 18
263446 | chocolate bonbon | My firm | 21
2082806 | bisquits  | Kinder | 14.73
1596843 | cake waffle | Nestle | 15.427
6625968 | donnat waffle | Milka | 16
7661950 | chocolate bonbon | New mark | 15.94
979557 | donnat donnat | Karmela | 14
7970477 | cookie chocolate | Milka | 20.898
4062667 | chocolate cookie | My firm | 21
1715558 | cookie pie | My firm | 2.291
4083931 | cookie  | My firm | 7
9287664 | cookie donnat | Nestle | 2.63
1147756 | waffle waffle | Milka | 8.316
9219075 | cake cake | New mark | 26
8150370 | donnat  | My firm | 6
4816596 | chocolate  | Kinder | 11
5763589 | pie bonbon | Karmela | 4.464
5814396 | bonbon  | Ood | 0.92
6311064 | waffle  | My firm | 24.548
7897336 | chocolate  | Karmela | 2.633
3549857 | cookie pie | New mark | 14
2723813 | waffle cookie | Karmela | 12
6084800 | pie waffle | Ood | 24
5757670 | donnat cookie | Nestle | 0.649
1418536 | chocolate  | Ood | 24.682
7520701 | chocolate  | New mark | 18
9939086 | waffle  | Milka | 19.181
1462829 | cake  | Kinder | 9
7792187 | cookie bisquits | Nestle | 13
6230115 | bisquits waffle | Karmela | 17.926
1018033 | bisquits  | Milka | 6
5818583 | cookie bisquits | New mark | 26
5030867 | cookie donnat | Karmela | 1
1210716 | donnat pie | Milka | 6
6593255 | cake cookie | Kinder | 28.44
3503409 | pie chocolate | Nestle | 5.339
8775019 | cookie cookie | Kinder | 24
4836084 | donnat cake | New mark | 5
5028818 | donnat  | New mark | 27
9211192 | pie donnat | Karmela | 13.98
1626310 | cookie bonbon | Kinder | 17
1805218 | cake cookie | New mark | 28.577
5315281 | bonbon pie | Ood | 9
791692 | cookie  | Milka | 12.894
6425829 | donnat cake | Karmela | 9
7734090 | waffle cookie | My firm | 9.357
1403260 | chocolate pie | Milka | 5
1672833 | cookie  | New mark | 9
2232191 | donnat bonbon | Ood | 8.726
9544710 | bonbon  | New mark | 5
7381347 | cake  | Nestle | 29
7219373 | waffle  | My firm | 17
7078542 | donnat chocolate | Nestle | 27.908
5501898 | cookie waffle | Karmela | 1.630
1858549 | donnat chocolate | Kinder | 12
4405807 | bisquits pie | Karmela | 23
7924034 | waffle chocolate | Karmela | 3
8807878 | cake cake | Milka | 6.827
8728558 | pie waffle | Kinder | 6.877
4942470 | cake  | Ood | 9
5682853 | chocolate  | Kinder | 21
5082119 | pie waffle | Kinder | 19.196
1856554 | bisquits bonbon | New mark | 18
365454 | pie  | Karmela | 18
5135524 | chocolate bisquits | Milka | 19.170
2561683 | waffle  | My firm | 15.53
3062184 | waffle waffle | Ood | 1
1544568 | donnat  | Milka | 21
5317398 | bisquits  | My firm | 3.994
7197709 | bonbon  | Ood | 0.26
9294871 | donnat cake | Milka | 8
7303270 | bisquits bisquits | New mark | 14
9453484 | waffle  | Ood | 28
6386912 | donnat cake | Nestle | 10.333
1405950 | bisquits waffle | Karmela | 0
2443602 | bisquits  | Kinder | 12
8014128 | donnat  | Milka | 11
1733562 | pie donnat | Ood | 2
3877066 | donnat chocolate | Nestle | 26
415060 | cookie waffle | New mark | 0
585413 | cake  | Ood | 28
7947921 | pie  | Nestle | 14.660
1508058 | cookie waffle | My firm | 9.636
8099806 | cake  | Ood | 3
9277179 | bonbon cake | Nestle | 11.114
734342 | cake  | Kinder | 16
5504282 | donnat  | My firm | 10.819
4824199 | bonbon donnat | My firm | 22
2485606 | donnat donnat | New mark | 2
6255975 | chocolate bonbon | Karmela | 13.485
7431907 | waffle pie | Karmela | 2
5346547 | cake donnat | Karmela | 13
3659528 | cake cake | Nestle | 25.763
597959 | bonbon pie | Ood | 24
4011043 | cake pie | Ood | 14.442
7703116 | chocolate bisquits | Nestle | 3.944
4606333 | waffle cake | Ood | 9
837401 | bonbon donnat | Nestle | 8.864
1609057 | chocolate bisquits | Ood | 3
4485300 | cookie  | Milka | 1
6218400 | cookie cake | New mark | 7.349
2962300 | chocolate chocolate | New mark | 20
6216207 | waffle bonbon | My firm | 7
3015688 | waffle waffle | New mark | 18
1030969 | cookie bisquits | My firm | 13
6929176 | bisquits chocolate | Milka | 15
9450263 | waffle  | Milka | 12.826
336947 | waffle  | My firm | 8.206
2400307 | pie waffle | Nestle | 11.593
9309567 | pie  | Milka | 28
1456852 | bonbon  | Milka | 21
3565424 | chocolate bonbon | Nestle | 11.69
1232572 | cookie bonbon | Nestle | 13
5052081 | bisquits pie | Kinder | 20
4498437 | waffle bonbon | Milka | 26
1982401 | chocolate cookie | Nestle | 25.293
1314391 | donnat bonbon | Kinder | 14
1294776 | chocolate waffle | My firm | 19
4771401 | bisquits chocolate | Kinder | 18.293
2423700 | bonbon  | Milka | 27
3580852 | cookie  | Karmela | 8.133
6397780 | donnat cookie | Ood | 2.812
3829502 | pie bonbon | Milka | 16
9978010 | bisquits cookie | Milka | 25
8703159 | donnat cookie | New mark | 23
6823762 | donnat  | Nestle | 23
4644003 | cake chocolate | My firm | 25
8594198 | bisquits donnat | Karmela | 29
5820657 | pie cake | Kinder | 8
84559 | donnat bisquits | Milka | 15.700
8866116 | bonbon waffle | Karmela | 16.753
7214613 | chocolate  | Nestle | 26
1556991 | chocolate pie | Nestle | 28
1280817 | waffle cookie | Ood | 13
8988543 | pie  | Nestle | 5.462
6049125 | chocolate  | Nestle | 24.107
401660 | cake donnat | Kinder | 14
5969950 | waffle chocolate | Nestle | 26
7264438 | waffle pie | Kinder | 17
9347341 | cake bonbon | New mark | 1
8937284 | cake cookie | Karmela | 21.813
6348316 | cookie donnat | Ood | 9
9369949 | bonbon bisquits | Karmela | 26
2307516 | cookie cake | Milka | 3
7652953 | pie  | My firm | 6
7577239 | pie cake | Milka | 20
8082040 | waffle chocolate | Karmela | 16
7756197 | cake  | My firm | 10
2220145 | waffle  | New mark | 0
9824838 | pie pie | Karmela | 16
5985927 | cookie  | New mark | 6.33
9657139 | pie cake | Karmela | 1
5066960 | bonbon  | My firm | 24.549
4812520 | bisquits cake | Karmela | 21
671459 | donnat bonbon | My firm | 26
204614 | cake  | Kinder | 9.706
3585046 | cake  | Milka | 29
4757878 | cake bisquits | New mark | 13.117
2828036 | bisquits  | Karmela | 12
8985680 | donnat  | My firm | 1.746
4862345 | cookie  | Nestle | 15
8433500 | chocolate waffle | My firm | 19
2123424 | waffle  | Nestle | 10.673
8366873 | cake  | Ood | 14
9757851 | pie waffle | New mark | 4
136528 | donnat  | New mark | 27.712
3531668 | donnat pie | Karmela | 28
1329566 | waffle donnat | Milka | 28
9098034 | cake  | Kinder | 26
7773848 | chocolate bisquits | Karmela | 8
9308912 | bonbon  | Milka | 10.392
3205422 | pie  | My firm | 10
4584682 | pie  | Karmela | 13
1969785 | bisquits  | Milka | 27
358927 | cake bisquits | Nestle | 10.317
693554 | cookie bonbon | Karmela | 17.563
1882101 | chocolate cake | Karmela | 9.934
7118479 | chocolate chocolate | Kinder | 17
9818124 | waffle bisquits | Milka | 13.536
7842808 | bisquits  | My firm | 27
1351068 | chocolate waffle | Karmela | 2.616
1831647 | chocolate cake | Kinder | 18.518
753635 | bonbon cake | Ood | 24.253
8732233 | chocolate  | My firm | 25
6888294 | pie  | Kinder | 17.947
6518081 | waffle pie | Nestle | 6
6208086 | cake waffle | Nestle | 7.804
107284 | bonbon  | Nestle | 27
5661892 | cookie cookie | New mark | 22
8671749 | waffle chocolate | Milka | 17
7545767 | donnat cookie | Karmela | 21
2152270 | cake bonbon | Karmela | 5
8278684 | donnat bonbon | Kinder | 9.935
5938306 | bisquits waffle | Kinder | 22.458
3674207 | bonbon pie | Kinder | 0.441
7255966 | bonbon bisquits | Ood | 3.201
5752095 | waffle  | My firm | 0
206518 | bonbon pie | Nestle | 18
1667537 | cake donnat | Milka | 12.879
3772858 | pie cake | My firm | 15
3397725 | cake  | My firm | 29
8626453 | cookie pie | My firm | 17.452
4720062 | bonbon cake | My firm | 16
1094027 | bisquits cake | Milka | 9.663
2398056 | pie bisquits | Kinder | 27
7641143 | donnat cookie | Nestle | 4.220
7309085 | pie waffle | Ood | 18.5
879941 | donnat bonbon | Nestle | 10
7553094 | chocolate pie | My firm | 29.322
364806 | cookie waffle | New mark | 1
2547344 | bisquits bonbon | Ood | 25.896
2926441 | chocolate  | New mark | 10.718
6725006 | bonbon bonbon | Ood | 15
3106865 | cake  | New mark | 15
8762258 | chocolate  | My firm | 29.707
169781 | bisquits  | Nestle | 27
1694630 | bisquits waffle | Milka | 19.317
8774609 | cake  | Karmela | 4
6153475 | chocolate  | Ood | 7
4470678 | chocolate  | Ood | 19
1518387 | cookie waffle | Ood | 0.450
3500188 | bisquits bisquits | Kinder | 1
5596401 | donnat chocolate | New mark | 24
920143 | donnat  | Nestle | 4
9836154 | bonbon  | Ood | 22
5043109 | waffle waffle | Karmela | 1
7024517 | chocolate cookie | Ood | 26.853
8874276 | chocolate pie | New mark | 29.500
7411053 | bisquits pie | Karmela | 14.151
6398467 | cookie cookie | Kinder | 28
7547101 | chocolate chocolate | New mark | 22
698026 | waffle cake | Kinder | 3.24
9223594 | waffle  | Ood | 26.971
2200795 | pie  | New mark | 5
4091981 | bisquits pie | Ood | 15.841
3964237 | pie pie | Nestle | 8.868
8893489 | bisquits  | Ood | 18
1796062 | bisquits  | Kinder | 11
7882410 | cake chocolate | My firm | 15
1480241 | bisquits bonbon | Karmela | 4.525
5580979 | cake  | My firm | 25
3516403 | donnat cake | Nestle | 8
1056332 | bisquits donnat | Kinder | 9.754
9879230 | waffle  | New mark | 18.517
9537684 | bonbon cake | My firm | 3
6516512 | donnat cookie | Kinder | 13
154959 | bisquits  | Milka | 26.90
2712585 | bisquits pie | Kinder | 23
2447038 | donnat bonbon | Karmela | 25
6464676 | bisquits pie | Karmela | 14
7093885 | bisquits bisquits | Karmela | 0
1924593 | donnat cake | Kinder | 12
9425311 | donnat bisquits | Nestle | 1
9897869 | pie  | Nestle | 18
3690282 | donnat bisquits | Milka | 16
5618699 | donnat cookie | My firm | 22
522444 | chocolate  | My firm | 17
2578964 | cake  | Karmela | 16
4327914 | bonbon cookie | Nestle | 25.198
6033988 | bonbon  | Milka | 16
9467232 | chocolate  | Kinder | 10
5652255 | waffle donnat | Karmela | 25
1956402 | cookie cake | Kinder | 24
1254745 | bisquits bisquits | Karmela | 21
5670668 | donnat cake | Ood | 27.460
1372566 | cake  | Nestle | 22
9792055 | pie donnat | My firm | 1
6487683 | donnat bisquits | Nestle | 20
6683925 | bisquits cookie | Karmela | 8
4592369 | cookie  | Karmela | 27
7355960 | waffle waffle | New mark | 1.146
4306619 | chocolate bonbon | Karmela | 20
560417 | bisquits cookie | Milka | 22
8588851 | donnat cake | My firm | 23
3436230 | waffle cookie | Nestle | 2.950
310839 | cookie  | Karmela | 6.166
3590093 | waffle cookie | Kinder | 12.807
604942 | cake donnat | My firm | 0
448355 | cookie  | Karmela | 2
9986128 | cookie  | Karmela | 20.303
9241313 | bisquits cookie | My firm | 20
2737278 | cake cake | Kinder | 5
2822687 | pie bonbon | Karmela | 28.494
7198157 | bisquits bonbon | My firm | 10
6631800 | chocolate bisquits | Ood | 26
663419 | waffle pie | Nestle | 16
7432670 | cookie donnat | Kinder | 21
9533106 | waffle bonbon | Kinder | 12
2846267 | donnat bonbon | Milka | 13.836
3062917 | pie  | New mark | 14
9198506 | cake cookie | Karmela | 4
7467492 | chocolate  | My firm | 19.709
5602455 | waffle  | New mark | 13.781
5165304 | donnat bonbon | Kinder | 9
2777475 | cake bonbon | Milka | 28.707
1778689 | cookie bisquits | My firm | 16
1656718 | cake waffle | Nestle | 8
6879837 | cookie  | Milka | 0
7623959 | bonbon cookie | New mark | 2
3918462 | cake  | Nestle | 3
8524385 | bonbon waffle | Milka | 20.668
8211219 | chocolate cake | Kinder | 18
23287 | chocolate donnat | Ood | 18
392158 | bonbon waffle | My firm | 2
5338175 | waffle  | Milka | 19
6871582 | bonbon  | Milka | 16
7352687 | donnat  | Ood | 27
4387267 | chocolate cookie | Nestle | 12.46
9070274 | bonbon  | Karmela | 20.174
2114184 | bisquits bisquits | Nestle | 11.682
8252543 | donnat waffle | Milka | 26.918
3226701 | pie chocolate | Ood | 2
227982 | pie  | Karmela | 15
8763829 | cookie bisquits | Karmela | 15
4881592 | cookie waffle | Milka | 12
6160184 | cookie donnat | Milka | 27.978
7192536 | donnat  | Milka | 4.610
5467921 | bisquits cake | Milka | 28
2837007 | chocolate bisquits | Nestle | 12
3424083 | bisquits cookie | My firm | 10
7926667 | chocolate cookie | Milka | 26
5123216 | bisquits waffle | Nestle | 26.210
